# DataManip CSV Export
# Study: Projectile Analysis
# Version: 0.2.0
#
# Column Metadata:
#   t: type=range, unit=s, range_type=linspace
#   x_noair: type=calculated, unit=m, formula={v0x} * {t}
#   y_noair: type=calculated, unit=m, formula={v0y} * {t} - 0.5 * {g} * {t}**2
#   vx_noair: type=calculated, unit=m/s, formula={v0x}
#   vy_noair: type=calculated, unit=m/s, formula={v0y} - {g} * {t}
#   speed_noair: type=calculated, unit=m/s, formula=magnitude({vx_noair}; {vy_noair})
#   KE: type=calculated, unit=J, formula=kinetic_energy({m}; {speed_noair})
#   PE: type=calculated, unit=J, formula={m} * {g} * {y_noair}
#   E_total: type=calculated, unit=J, formula={KE} + {PE}
#   angle: type=calculated, unit=deg, formula=angle_deg({vx_noair}; {vy_noair})
#   vx_derivative: type=derivative, unit=m/s, derivative_of=x_noair, with_respect_to=t
#   vy_derivative: type=derivative, unit=m/s, derivative_of=y_noair, with_respect_to=t
#   ax: type=derivative, unit=m/s², derivative_of=vx_noair, with_respect_to=t
#   ay: type=derivative, unit=m/s², derivative_of=vy_noair, with_respect_to=t
#   t_u: type=uncertainty
#   range_estimate: type=calculated, unit=m, formula={v0x} * {t}
#   range_estimate_u: type=uncertainty, unit=m
#
t,x_noair,y_noair,vx_noair,vy_noair,speed_noair,KE,PE,E_total,angle,vx_derivative,vy_derivative,ax,ay,t_u,range_estimate,range_estimate_u
1.7000000000000002,48.083261120685236,33.90781112068523,28.284271247461902,11.607271247461899,30.57333390083842,67.76783407138129,48.232165928618706,116.0,22.31221730559126,28.28427124746196,11.607271247461966,2.842170943040401e-14,-9.809999999999988,0.01,48.083261120685236,
1.8,50.91168824543143,35.019488245431425,28.284271247461902,10.6262712474619,30.214526979991522,66.18652894528608,49.81347105471393,116.00000000000001,20.590969654820658,28.284271247461845,10.626271247461887,-2.842170943040401e-14,-9.81000000000001,0.01,50.91168824543143,
1.9000000000000001,53.74011537017762,36.03306537017762,28.284271247461902,9.6452712474619,29.883628585516774,64.74476616419085,51.25523383580915,116.0,18.829983744678795,28.284271247461902,9.645271247461892,2.842170943040401e-14,-9.809999999999988,0.01,53.74011537017762,
2.0,56.568542494923804,36.9485424949238,28.284271247461902,8.664271247461901,29.58157528343606,63.442545728095645,52.557454271904355,116.0,17.031306079835062,28.284271247461845,8.664271247461869,-2.842170943040401e-14,-9.81000000000001,0.01,56.568542494923804,
2.1,59.396969619669996,37.765919619669994,28.284271247461902,7.683271247461899,29.30925889650018,62.27986763700043,53.720132362999585,116.00000000000001,15.197368038775672,28.284271247461845,7.683271247461931,0.0,-9.81000000000001,0.01,59.396969619669996,
2.2,62.22539674441619,38.485196744416186,28.284271247461902,6.702271247461898,29.06751519952393,61.25673189090521,54.74326810909481,116.00000000000001,13.330985358795951,28.28427124746196,6.702271247461937,0.0,-9.809999999999992,0.01,62.22539674441619,
2.3000000000000003,65.05382386916239,39.10637386916238,28.284271247461902,5.7212712474619,28.857112549370463,60.373138489809975,55.62686151019003,116.0,11.435348754839293,28.284271247461902,5.721271247461885,0.0,-9.809999999999988,0.01,65.05382386916239,
2.4000000000000004,67.88225099390857,39.62945099390856,28.284271247461902,4.740271247461898,28.678740758609226,59.629087433714766,56.370912566285234,116.0,9.51400496983382,28.28427124746179,4.740271247461834,-2.842170943040401e-14,-9.810000000000016,0.01,67.88225099390857,
2.5,70.71067811865476,40.054428118654755,28.284271247461902,3.7592712474619,28.533000548697885,59.02457872261955,56.975421277380455,116.0,7.570827935918211,28.284271247462016,3.7592712474619816,2.842170943040401e-14,-9.81000000000001,0.01,70.71067811865476,
2.6,73.53910524340095,40.38130524340095,28.284271247461902,2.7782712474618982,28.420393929790514,58.55961235652432,57.44038764347568,116.0,5.609980182005804,28.284271247461902,2.7782712474618734,0.0,-9.809999999999988,0.01,73.53910524340095,
